GPST,Ax,Ay,Az,Gx,Gy,Gz
390896.86,-1.3337044,-9.44380395,0.9218251,-0.043,-0.103,0.021
390896.9,-1.2552512,-9.5516771,1.0591182,-0.033,-0.075,-0.003
390896.94,-1.4317708999999998,-9.71839015,0.8531785499999999,-0.051,0.013,0.01
390896.98,-1.4808041499999998,-9.79684335,0.7943386499999999,-0.046,-0.058,0.058
390897.02,-1.26505785,-9.83606995,0.980665,-0.023,-0.081,0.083
390897.06,-1.1964112999999998,-9.93413645,0.6962721499999999,0.028,-0.109,0.053
390897.1,-0.8433718999999998,-9.7281968,0.81395195,0.063,-0.171,0.025
390897.14,-0.7158854499999999,-9.6497436,0.91201845,0.031,0.075,-0.031
390897.18,-1.0198915999999998,-9.502643849999998,0.83356525,0.002,0.247,-0.08
390897.22,-1.2944778,-9.5320638,1.06892485,-0.034,0.421,-0.073
390897.26,-1.89268345,-9.4732239,0.8825985,-0.04,0.448,-0.084
390897.3,-2.22610955,-9.65955025,0.784532,-0.042,0.234,-0.092
390897.34,-2.2163029,-9.73800345,0.73549875,-0.011,-0.071,-0.063
390897.38,-1.8828768,-9.71839015,0.8041453,0.004,-0.2,0.036
390897.42,-1.6965504499999997,-9.7085835,0.5883989999999999,-0.003,-0.324,0.078
390897.46,-1.2552512,-9.6693569,0.8531785499999999,-0.017,-0.359,0.044
390897.5,-1.0591182,-9.6889702,0.8041453,-0.014,-0.33,0.03
390897.54,-0.7551120499999999,-9.5712904,1.1767979999999998,-0.021,-0.179,0.015
390897.58,-1.0296982499999998,-9.65955025,0.9610517,-0.046,0.078,-0.019
390897.62,-1.372931,-9.75761675,0.8041453,-0.039,0.125,-0.001
390897.66,-1.569064,-9.79684335,0.81395195,-0.027,0.07,-0.001
390897.7,-1.4906107999999998,-9.69877685,0.8531785499999999,0.001,-0.041,-0.019
390897.74,-1.32389775,-9.6497436,0.8629851999999999,0.011,-0.099,-0.015
390897.78,-1.1964112999999998,-9.6693569,0.8629851999999999,0.002,-0.055,-0.025
390897.82,-1.2356379,-9.7281968,0.9414384,-0.016,0.058,-0.04
390897.86,-1.3827376499999997,-9.71839015,0.8727918499999999,0.002,0.031,-0.032
390897.899,-1.4121575999999998,-9.73800345,0.8041453,0.01,-0.005,-0.032
390897.939,-1.3337044,-9.62032365,0.7649187,0.017,-0.106,-0.044
390897.979,-1.08853815,-9.5516771,0.97085835,0.007,-0.052,-0.029
