time,pdr_x,pdr_y
391828.822,84.47295032575218,-23.929914785808542
391828.861,84.47295032575218,-23.929914785808542
391828.901,84.47295032575218,-23.929914785808542
391828.941,83.82978184799524,-23.70760580956674
391828.981,83.82978184799524,-23.70760580956674
391829.021,83.82978184799524,-23.70760580956674
391829.061,83.82978184799524,-23.70760580956674
391829.101,83.82978184799524,-23.70760580956674
391829.141,83.82978184799524,-23.70760580956674
391829.181,83.82978184799524,-23.70760580956674
391829.221,83.82978184799524,-23.70760580956674
391829.261,83.82978184799524,-23.70760580956674
391829.301,83.82978184799524,-23.70760580956674
391829.341,83.82978184799524,-23.70760580956674
391829.381,83.82978184799524,-23.70760580956674
391829.421,83.82978184799524,-23.70760580956674
391829.461,83.82978184799524,-23.70760580956674
391829.501,83.82978184799524,-23.70760580956674
391829.541,83.82978184799524,-23.70760580956674
391829.581,83.82978184799524,-23.70760580956674
391829.621,83.82978184799524,-23.70760580956674
391829.661,83.82978184799524,-23.70760580956674
391829.701,83.82978184799524,-23.70760580956674
391829.741,83.82978184799524,-23.70760580956674
391829.781,83.82978184799524,-23.70760580956674
391829.82,83.82978184799524,-23.70760580956674
391829.86,83.82978184799524,-23.70760580956674
391829.9,83.82978184799524,-23.70760580956674
391829.94,83.37040982043618,-23.55640091334792
391829.98,83.37040982043618,-23.55640091334792
391830.02,83.37040982043618,-23.55640091334792
391830.06,83.37040982043618,-23.55640091334792
391830.1,83.37040982043618,-23.55640091334792
391830.14,83.37040982043618,-23.55640091334792
391830.18,83.37040982043618,-23.55640091334792
391830.22,83.37040982043618,-23.55640091334792
391830.26,83.37040982043618,-23.55640091334792
391830.3,83.37040982043618,-23.55640091334792
391830.34,83.37040982043618,-23.55640091334792
391830.38,83.37040982043618,-23.55640091334792
391830.42,83.37040982043618,-23.55640091334792
391830.46,83.37040982043618,-23.55640091334792
391830.5,83.37040982043618,-23.55640091334792
391830.54,83.37040982043618,-23.55640091334792
391830.58,83.37040982043618,-23.55640091334792
391830.62,83.37040982043618,-23.55640091334792
391830.66,83.37040982043618,-23.55640091334792
391830.7,83.37040982043618,-23.55640091334792
391830.74,83.37040982043618,-23.55640091334792
391830.779,83.37040982043618,-23.55640091334792
391830.819,83.37040982043618,-23.55640091334792
391830.859,83.37040982043618,-23.55640091334792
391830.899,83.37040982043618,-23.55640091334792
391830.939,82.88887867473011,-23.396952045690103
391830.979,82.88887867473011,-23.396952045690103
391831.019,82.88887867473011,-23.396952045690103
